"METS_VF","Model1","Model2","Model3"
"Continuous","1.85(1.58,2.16)
<0.0001","2.17(1.83,2.58)
<0.0001","1.69(1.43,2.01)
<0.0001"
"Interquartile","","",""
"Q1
 -Inf~0.772","Ref","Ref","Ref"
"Q2
 0.772~1.122","1.45(1.13,1.86)
0.005","1.39(1.06,1.81)
0.020","NA"
"Q3
 1.122~1.466","1.68(1.35,2.09)
<0.0001","1.61(1.28,2.02)
<0.0001","NA"
"Q4
 1.466~0.756","2.35(1.84,3.00)
<0.0001","2.34(1.80,3.05)
<0.0001","NA"
"P for trend","1.31(1.23,1.41)
<0.0001","1.32(1.22,1.42)
<0.0001","1.27(1.17,1.36)
<0.0001"
